URL,result
http://Benign875Benign8.com/,Malicious
http://Malicious3.75.43.83/,Malicious
http://Malicious84.7Malicious.Malicious9Benign.2Benign6:8Benign8/Malicious/www.bn.com.pe/,Malicious
http://34.Malicious99.8.Malicious44/,Malicious
http://34.228.2.Malicious36/Malicious.php,Malicious
http://3iview.com/techno.php?q=legal-information...,Malicious
http://6MaliciousMalicious2-webtechpro.xyz/german-micro,Malicious
http://67.2MaliciousBenign.Malicious22.222/~deen/file%2Benign/hs/Validation/login.php...,Malicious
http://6l9y.mjt.lu,Benign
http://82.Malicious65.229.Malicious38/,Malicious
http://85.2Malicious4.Malicious2Malicious.62/,Malicious
http://aabawaria.pl/docx/drop/newshared/files/rename/file/index.php...,Malicious
http://aardvarkresearchgroup.com/free-dd2Malicious4/,Malicious
http://abgsites.com.br/clientes/ale/empresa.php.htm...,Malicious
http://account.signinupdate.support/webapps/38Maliciousb9/...,Malicious
http://aciadonotebook.com.br/contato/,Malicious
http://action-loginlink.action.scoran.com/WhatsApp/index.php...,Malicious
http://adm692.at.ua/reconfirm_now.html,Malicious
http://agroeconom.kz/api/getn.php?id=amJsb29kc3dvcnRoQGljc25ld3lvcmsuY...,Malicious
http://alex-logistic.com.ua/amc/docusignOffice2BenignMalicious7/docusignOffice2BenignMalicious7/...,Malicious
http://alilaanji.cn/ink/ServiceL=ogin%253fservice=mail&passive=tru...,Malicious
http://alkatheebinteriors.com/info/sites/,Malicious
http://alphagraphics.com.sa/graphics,Malicious
http://amazingdealfx.com/Power/Win/,Malicious
http://amiba.ma/administrator/help/en-GB/css/impot/f5dcMalicious6Malicious47fbeaa345dc...,Malicious
http://ammanchamber.com.ng/ACC6/adbb/ad/,Malicious
http://ana-fashion.com/admin/css/s.p/jkh.html,Malicious
http://andahohoMalicious5.mystagingwebsite.com/wp-content/plugins/deeid/deeid/...,Malicious
http://anetteportfolio.com/wp-includes/pomo,Malicious
http://anime-srbija.ucoz.com/publ/anime_Malicious/btooom/btooom_epizoda_8/Malicious92-...,Malicious
http://aquariumfishadvisor.com/wp-includes/js,Malicious
http://arg.geocities.ws/pedrofeital/posters/tmpuoojkl344.html...,Benign
http://arsactextil.com/it/cgi-bin/webscrcmd-_login-submit.dispatch=aHR...,Malicious
http://artesaniamantasdelana.com/js/infortis/jquery/plugins/mcolorpick...,Malicious
http://arvindndesign.com/eventsss/T/YMalicious.html,Malicious
http://aspiruslibrary.com,Benign
http://assurezMalicious.beget.tech/ameli/contact/moncompte/logo/secure/8aBenign397e...,Malicious
http://atnmusic.tv/css/,Malicious
http://attorneycreditcardservices.com/file.php?document=bWlrZS5wYXRBenignZX...,Malicious
http://auctionstealth.com/wp-login.php,Malicious
http://audumbarfarms.com/wp-includes/Text,Malicious
http://automotivepartsuppliers.com/sd/anz.co.nz/app/clg/login.php...,Malicious
http://avanteit.com/,Malicious
http://awrqpublishing.net/bh/Adobe/,Malicious
http://bancobic-pt.com/,Malicious
http://banortem.com/palcjsc/,Malicious
http://banque.meilleurtaux.com/,Benign
http://banrimailing.com.br/,Malicious
http://baseportal.com/cgi-bin/baseportal.pl?htx=/capitecza/main&lo...,Malicious
http://bassanigroup.com/vlkiol/,Malicious
http://bayrootmarket.com/dom/edu/indexx.html,Malicious
http://bayrootmarket.com/urt/zipp/home/,Malicious
http://bbvanetmx.com,Benign
http://bcpredirruc.com/prem2/,Malicious
http://beyaznehir.com.tr/rice/biz/,Malicious
http://bharateshbca.com/wp-content/Portal/Santander.com.br/br/Malicious_acesso...,Malicious
http://bhleatherrepairs.com/kia/yah/validate.htm...,Malicious
